Día,Hora de inicio,Hora de finalización,Aplicaciones utilizadas
Sábado,7:00,7:30,"WhatsApp, Instagram, Facebook, Notificaciones"
Sábado,8:00,8:10,"WhatsApp, Facebook,Notificaciones, Chrome"
Sábado,16:28,16:40,"Instagram, Twitter, Notificaciones, Amazon"
Sábado,17:34,17:40,"WhatsApp, Instagram, Facebook, Notificaciones"
Sábado,18:00,18:15,"Facebook, Instagram, Notificaciones, Chrome"
Sábado,19:00,19:10,"Instagram, Notificaciones, Maps"
Sábado,20:00,20:15,"WhatsApp, YouTube, Twitter, Chrome, Amazon"
Sábado,20:55,21:10,"Instagram, TikTok, Notificaciones"
Sábado,22:30,22:50,"WhatsApp, Instagram, Facebook, Notificaciones"
Sábado,23:00,23:50,"Facebook, Instagram, Notificaciones"
Domingo,7:55,8:30,"WhatsApp, Gmail, Facebook, Notificaciones"
Domingo,9:00,9:08,"WhatsApp, Facebook"
Domingo,10:00,10:05,"WhatsApp, Instagram, Facebook"
Domingo,10:40,10:52,"WhatsApp, Instagram, Facebook, Notificaciones"
Domingo,12:00,12:55,"Notificaciones, Chrome"
Domingo,13:00,13:13,"WhatsApp, YouTube"
Domingo,14:35,14:42,"Instagram, TikTok, Notificaciones"
Domingo,15:13,15:20,Instagram
Domingo,16:28,16:35,"Facebook, Chrome"
Domingo,17:44,17:50,Instagram
Domingo,18:00,18:05,"Instagram, Notificaciones"
Domingo,18:36,18:40,"WhatsApp, Instagram, Facebook"
Domingo,20:00,20:15,"WhatsApp, Instagram, Facebook, Notificaciones"
Domingo,21:07,21:32,"Instagram, TikTok, Notificaciones, Amazon"
Domingo,22:00,22:18,"WhatsApp, Facebook, Notificaciones, Maps, Chrome"
Domingo,22:50,22:54,"Instagram, Twitter, Notificaciones, Amazon"
Domingo,23:00,23:55,"Facebook, Instagram, Notificaciones"
Lunes,7:40,8:15,"WhatsApp, Instagram, Gmail, Facebook, Maps"
Lunes,9:03,9:15,"WhatsApp, Facebook"
Lunes,10:18,10:25,"WhatsApp, Instagram, Facebook, Chrome"
Lunes,10:36,10:43,"WhatsApp, Instagram, Facebook"
Lunes,12:26,12:38,"Mensajes de texto, Notificaciones"
Lunes,13:45,13:56,"WhatsApp, YouTube, Twitter"
Lunes,15:15,15:23,"Instagram, TikTok, Notificaciones, Gmail"
Lunes,15:45,15:54,"Instagram, Notificaciones, Maps"
Lunes,18:00,18:35,"Facebook, Chrome"
Lunes,19:05,19:10,"Facebook, Chrome"
Lunes,20:40,21:00,"Instagram, Spotify, Amazon"
Lunes,22:33,22:48,"Instagram, Twitter, Amazon"
Lunes,23:00,23:25,"WhatsApp, Instagram, YouTube"
Martes,8:00,8:45,"WhatsApp, Instagram, Gmail, Facebook, Maps"
Martes,9:23,9:30,"WhatsApp, Facebook"
Martes,10:03,10:30,"WhatsApp, Instagram, Facebook, Chrome"
Martes,11:24,11:32,"WhatsApp, Instagram, Facebook"
Martes,12:37,12:41,"Mensajes de texto, Notificaciones"
Martes,13:17,13:47,"WhatsApp, YouTube, Twitter"
Martes,14:25,14:32,"Instagram, TikTok, Notificaciones, Gmail"
Martes,15:28,15:42,"Instagram, Notificaciones"
Martes,16:05,16:10,"Facebook, Chrome"
Martes,17:46,17:53,"Facebook, Chrome"
Martes,18:04,18:12,"Instagram, Spotify, Amazon"
Martes,20:34,20:52,"Instagram, Twitter, Amazon"
Martes,21:00,22:05,"WhatsApp, Instagram, YouTube"
Miércoles,7:35,8:15,"WhatsApp, Instagram, Gmail, Facebook"
Miércoles,9:24,9:35,"WhatsApp, Facebook"
Miércoles,10:15,10:40,"WhatsApp, Instagram, Facebook, Twitter, Gmail"
Miércoles,11:05,11:09,"WhatsApp, Instagram, Facebook"
Miércoles,12:00,12:05,"Mensajes de texto, Notificaciones"
Miércoles,13:10,13:18,"WhatsApp, YouTube, Twitter, Amazon"
Miércoles,15:04,15:12,"Instagram, TikTok, Notificaciones, Gmail"
Miércoles,15:30,15:45,"Instagram, Notificaciones, Maps, Chrome"
Miércoles,16:07,16:15,"Facebook, Chrome"
Miércoles,17:36,17:43,"Facebook, Chrome"
Miércoles,18:23,18:30,"Instagram, Spotify, Amazon"
Miércoles,19:08,19:23,"Instagram, Twitter, Amazon"
Miércoles,20:00,20:30,"WhatsApp, Instagram, YouTube, Chrome"
Miércoles,21:04,21:12,"Facebook, Instagram, Twitter"
Miércoles,22:03,22:35,"Instagram, TikTok, Notificaciones"
Miércoles,23:13,23:30,"WhatsApp, Facebook, Chrome"
Jueves,11:30,11:40,"WhatsApp, Facebook, Notificaciones, Chrome"
Jueves,14:30,14:45,"Facebook, Instagram, Twitter, Notificaciones"
Jueves,18:10,18:15,"WhatsApp, Instagram, Facebook, Notificaciones"
Jueves,19:08,19:22,"Instagram, TikTok, Notificaciones"
Jueves,20:00,20:15,"Facebook, Twitter, Notificaciones, Chrome"
Jueves,21:06,21:12,"Instagram, Notificaciones"
Jueves,22:00,22:10,"WhatsApp, YouTube, Facebook, Notificaciones"
Jueves,23:00,23:15,"Instagram, TikTok, Notificaciones, Amazon"
Jueves,23:11,23:30,"Instagram, TikTok, Notificaciones"
